
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
, 0.000186841, 0.000129, 1.29e-09, 5.031e-05, 3.66e-06, 3.87e-06, 3.06e-06, 4.98125e-08, 4e-06, 1.8865e-05, 0.000212816, 45.1992
, 4.84003e-05, 3.3e-05, 3.3e-10, 1.287e-05, 1.54e-06, 9.9e-07, 8.55e-07, 4.50312e-08, 4.11e-06, 1.192e-05, 6.53304e-05, 78.3668
, 0.000116381, 8e-05, 8e-10, 3.12e-05, 2.78e-06, 2.4e-06, 3.09e-06, 5.01875e-08, 4e-06, 1.7805e-05, 0.000141326, 59.0175
, 8.42306e-05, 5.8e-05, 5.8e-10, 2.262e-05, 1.87e-06, 1.74e-06, 1.41e-06, 5e-08, 4e-06, 1.453e-05, 0.000104221, 67.7814
, 0.000179631, 0.000125, 1.25e-09, 4.875e-05, 2.13e-06, 3.75e-06, 3.165e-06, 5.0125e-08, 4e-06, 1.759e-05, 0.000204436, 46.6348
, 5.54604e-05, 3.8e-05, 3.8e-10, 1.482e-05, 1.5e-06, 1.14e-06, 1.005e-06, 5e-08, 4e-06, 1.322e-05, 7.37354e-05, 75.9472
, 0.000112971, 7.8e-05, 7.8e-10, 3.042e-05, 2.21e-06, 2.34e-06, 1.275e-06, 5e-08, 4e-06, 1.448e-05, 0.000132776, 60.9308
, 2.32302e-05, 1.6e-05, 1.6e-10, 6.24e-06, 5.1e-07, 4.8e-07, 6.3e-07, 4.95e-08, 4e-06, 1.119e-05, 3.90997e-05, 86.4249
, 0, 0, 0, 0, 0, 0, 6.6e-07, 2.52e-07, 2.176e-05, 5.628e-05, 7.8952e-05, 74.4832
, 2.31902e-05, 1.6e-05, 1.6e-10, 6.24e-06, 4.7e-07, 4.8e-07, 2.85e-07, 5.86875e-08, 4.94e-06, 1.195e-05, 4.04238e-05, 85.9989


Workload,Communication time (s),EPR pair generation time (s),EPR pair distribution time (s),Pre-processing time (s),Classical transfer time (s),Post-processing time (s),Computation time (s),Fetch time (s),Decode time (s),Dispatch time (s),Execution time (s),Coherence (%)
